snapshot_time,symbol,match_price,ref_price
2026-04-02 00:38:49,FPT,75300,74700
2026-04-02 01:39:12,FPT,75300,74700
2026-04-02 02:45:30,FPT,75300,74700
2026-04-02 03:30:55,FPT,75300,74700
2026-04-02 04:25:00,FPT,75300,74700
2026-04-02 05:04:49,FPT,75300,74700
2026-04-02 05:56:44,FPT,75300,74700
2026-04-02 06:45:02,FPT,75300,74700
2026-04-02 08:00:06,FPT,0,75300
2026-04-02 10:50:04,FPT,74700,75300
2026-04-02 12:27:47,FPT,74600,75300
2026-04-02 13:52:17,FPT,74400,75300
2026-04-02 15:04:20,FPT,74700,75300
2026-04-02 16:13:16,FPT,74700,75300
2026-04-02 17:14:25,FPT,74700,75300
2026-04-02 18:12:57,FPT,74700,75300
2026-04-02 19:01:01,FPT,74700,75300
2026-04-02 20:51:45,FPT,74700,75300
2026-04-02 21:51:20,FPT,74700,75300
