snapshot_time,symbol,match_price,ref_price
2026-05-08 00:26:28,FPT,73000,73300
2026-05-08 02:16:56,FPT,73000,73300
2026-05-08 03:43:23,FPT,73000,73300
2026-05-08 04:41:23,FPT,73000,73300
2026-05-08 05:44:42,FPT,73000,73300
2026-05-08 06:38:47,FPT,73000,73300
2026-05-08 08:25:32,FPT,0,73000
2026-05-08 11:39:11,FPT,72300,73000
2026-05-08 13:22:03,FPT,72400,73000
2026-05-08 15:07:06,FPT,71900,73000
2026-05-08 16:51:57,FPT,71900,73000
2026-05-08 18:07:24,FPT,71900,73000
2026-05-08 19:18:54,FPT,71900,73000
2026-05-08 21:20:30,FPT,71900,73000
2026-05-08 22:56:58,FPT,71900,73000
