snapshot_time,symbol,match_price,ref_price
2026-04-23 00:46:37,FPT,74600,75100
2026-04-23 01:52:50,FPT,74600,75100
2026-04-23 03:03:23,FPT,74600,75100
2026-04-23 04:08:22,FPT,74600,75100
2026-04-23 05:05:07,FPT,74600,75100
2026-04-23 06:04:39,FPT,74600,75100
2026-04-23 06:58:43,FPT,74600,75100
2026-04-23 10:39:28,FPT,74700,74600
2026-04-23 12:55:00,FPT,74600,74600
2026-04-23 15:00:34,FPT,74300,74600
2026-04-23 16:55:03,FPT,74300,74600
2026-04-23 18:13:46,FPT,74300,74600
2026-04-23 19:11:02,FPT,74300,74600
