snapshot_time,symbol,match_price,ref_price
2026-04-03 00:56:03,FPT,74700,75300
2026-04-03 02:09:10,FPT,74700,75300
2026-04-03 02:57:08,FPT,74700,75300
2026-04-03 03:46:17,FPT,74700,75300
2026-04-03 04:23:36,FPT,74700,75300
2026-04-03 05:01:14,FPT,74700,75300
2026-04-03 05:48:23,FPT,74700,75300
2026-04-03 06:21:35,FPT,74700,75300
2026-04-03 06:56:44,FPT,74700,75300
2026-04-03 10:18:49,FPT,75200,74700
2026-04-03 12:18:37,FPT,74700,74700
2026-04-03 13:42:09,FPT,74300,74700
2026-04-03 14:49:26,FPT,74000,74700
2026-04-03 15:39:39,FPT,74000,74700
2026-04-03 16:39:15,FPT,74000,74700
