snapshot_time,symbol,match_price,ref_price
2026-04-17 00:59:15,ACB,23650,23800
2026-04-17 02:35:25,ACB,23650,23800
2026-04-17 03:28:36,ACB,23650,23800
2026-04-17 04:24:02,ACB,23650,23800
2026-04-17 05:07:26,ACB,23650,23800
2026-04-17 06:02:12,ACB,23650,23800
2026-04-17 06:55:09,ACB,23650,23800
2026-04-17 09:53:47,ACB,23650,23650
2026-04-17 12:28:19,ACB,23700,23650
2026-04-17 14:11:08,ACB,23750,23650
2026-04-17 15:56:49,ACB,23750,23650
2026-04-17 17:20:26,ACB,23750,23650
2026-04-17 18:27:48,ACB,23750,23650
2026-04-17 19:37:49,ACB,23750,23650
2026-04-17 21:07:39,ACB,23750,23650
2026-04-17 22:15:30,ACB,23750,23650
