snapshot_time,symbol,match_price,ref_price
2026-04-07 00:27:28,ACB,23250,23500
2026-04-07 01:32:29,ACB,23250,23500
2026-04-07 02:39:19,ACB,23250,23500
2026-04-07 03:23:44,ACB,23250,23500
2026-04-07 04:04:02,ACB,23250,23500
2026-04-07 04:50:07,ACB,23250,23500
2026-04-07 05:26:10,ACB,23250,23500
2026-04-07 06:06:22,ACB,23250,23500
2026-04-07 06:51:02,ACB,23250,23500
2026-04-07 08:46:58,ACB,0,23250
2026-04-07 11:20:28,ACB,23200,23250
2026-04-07 13:01:48,ACB,23250,23250
2026-04-07 14:47:19,ACB,23200,23250
2026-04-07 15:48:23,ACB,23200,23250
