snapshot_time,symbol,match_price,ref_price
2026-04-07 00:27:28,FPT,73900,74000
2026-04-07 01:32:29,FPT,73900,74000
2026-04-07 02:39:19,FPT,73900,74000
2026-04-07 03:23:44,FPT,73900,74000
2026-04-07 04:04:02,FPT,73900,74000
2026-04-07 04:50:07,FPT,73900,74000
2026-04-07 05:26:10,FPT,73900,74000
2026-04-07 06:06:22,FPT,73900,74000
2026-04-07 06:51:02,FPT,73900,74000
2026-04-07 08:46:58,FPT,0,73900
2026-04-07 11:20:28,FPT,74000,73900
2026-04-07 13:01:48,FPT,74000,73900
2026-04-07 14:47:19,FPT,74000,73900
2026-04-07 15:48:23,FPT,74000,73900
