snapshot_time,symbol,match_price,ref_price
2026-04-16 00:55:26,FPT,75100,76200
2026-04-16 02:24:37,FPT,75100,76200
2026-04-16 03:27:00,FPT,75100,76200
2026-04-16 04:29:38,FPT,75100,76200
2026-04-16 05:23:48,FPT,75100,76200
2026-04-16 06:10:35,FPT,75100,76200
2026-04-16 07:00:45,FPT,75100,76200
2026-04-16 10:42:27,FPT,74600,75100
2026-04-16 12:52:21,FPT,74300,75100
2026-04-16 14:26:46,FPT,74300,75100
2026-04-16 16:04:40,FPT,74100,75100
2026-04-16 17:40:02,FPT,74100,75100
2026-04-16 18:43:06,FPT,74100,75100
2026-04-16 19:54:16,FPT,74100,75100
2026-04-16 21:57:20,FPT,74100,75100
2026-04-16 23:43:48,FPT,74100,75100
