snapshot_time,symbol,match_price,ref_price
2026-04-08 00:40:04,FPT,74000,73900
2026-04-08 01:39:55,FPT,74000,73900
2026-04-08 02:44:49,FPT,74000,73900
2026-04-08 03:31:12,FPT,74000,73900
2026-04-08 04:27:58,FPT,74000,73900
2026-04-08 05:07:52,FPT,74000,73900
2026-04-08 05:58:32,FPT,74000,73900
2026-04-08 06:50:19,FPT,74000,73900
2026-04-08 08:24:15,FPT,0,74000
2026-04-08 11:18:21,FPT,76400,74000
2026-04-08 13:00:56,FPT,77600,74000
2026-04-08 14:50:46,FPT,79100,74000
2026-04-08 15:53:10,FPT,79100,74000
2026-04-08 17:06:35,FPT,79100,74000
2026-04-08 18:15:14,FPT,79100,74000
2026-04-08 19:06:18,FPT,79100,74000
2026-04-08 21:01:41,FPT,79100,74000
2026-04-08 22:45:30,FPT,79100,74000
2026-04-08 23:47:44,FPT,79100,74000
