snapshot_time,symbol,match_price,ref_price
2026-04-08 00:40:04,ACB,23200,23250
2026-04-08 01:39:55,ACB,23200,23250
2026-04-08 02:44:49,ACB,23200,23250
2026-04-08 03:31:12,ACB,23200,23250
2026-04-08 04:27:58,ACB,23200,23250
2026-04-08 05:07:52,ACB,23200,23250
2026-04-08 05:58:32,ACB,23200,23250
2026-04-08 06:50:19,ACB,23200,23250
2026-04-08 08:24:15,ACB,0,23200
2026-04-08 11:18:21,ACB,23750,23200
2026-04-08 13:00:56,ACB,23800,23200
2026-04-08 14:50:46,ACB,24100,23200
2026-04-08 15:53:10,ACB,24100,23200
2026-04-08 17:06:35,ACB,24100,23200
