snapshot_time,symbol,match_price,ref_price
2026-04-10 00:17:11,ACB,23850,24100
2026-04-10 01:14:35,ACB,23850,24100
2026-04-10 02:42:14,ACB,23850,24100
2026-04-10 03:35:26,ACB,23850,24100
2026-04-10 04:29:33,ACB,23850,24100
2026-04-10 05:09:31,ACB,23850,24100
2026-04-10 06:01:35,ACB,23850,24100
2026-04-10 06:51:08,ACB,23850,24100
2026-04-10 08:52:18,ACB,0,23850
2026-04-10 11:44:48,ACB,24000,23850
2026-04-10 13:23:34,ACB,24000,23850
2026-04-10 15:07:06,ACB,23850,23850
2026-04-10 16:38:38,ACB,23850,23850
2026-04-10 17:38:41,ACB,23850,23850
2026-04-10 18:33:33,ACB,23850,23850
2026-04-10 19:32:40,ACB,23850,23850
