snapshot_time,symbol,match_price,ref_price
2026-04-15 00:55:28,HPG,28550,27800
2026-04-15 02:23:48,HPG,28550,27800
2026-04-15 03:31:00,HPG,28550,27800
2026-04-15 04:29:36,HPG,28550,27800
2026-04-15 05:25:31,HPG,28550,27800
2026-04-15 06:25:04,HPG,28550,27800
2026-04-15 07:08:10,HPG,28550,27800
2026-04-15 10:40:20,HPG,28350,28550
2026-04-15 12:51:45,HPG,28400,28550
2026-04-15 14:23:51,HPG,28050,28550
2026-04-15 16:03:26,HPG,28050,28550
2026-04-15 17:37:54,HPG,28050,28550
2026-04-15 18:39:47,HPG,28050,28550
2026-04-15 19:46:36,HPG,28050,28550
2026-04-15 21:22:22,HPG,28050,28550
