snapshot_time,symbol,match_price,ref_price
2026-04-09 00:55:09,HPG,28000,26800
2026-04-09 02:21:19,HPG,28000,26800
2026-04-09 03:07:03,HPG,28000,26800
2026-04-09 04:01:38,HPG,28000,26800
2026-04-09 04:56:46,HPG,28000,26800
2026-04-09 05:52:50,HPG,28000,26800
2026-04-09 06:36:09,HPG,28000,26800
2026-04-09 07:03:46,HPG,28000,26800
2026-04-09 10:26:05,HPG,27800,28000
2026-04-09 12:29:15,HPG,27750,28000
2026-04-09 14:03:04,HPG,28450,28000
2026-04-09 15:45:05,HPG,28250,28000
2026-04-09 16:58:33,HPG,28250,28000
2026-04-09 18:11:40,HPG,28250,28000
