snapshot_time,symbol,match_price,ref_price
2026-04-09 00:55:09,ACB,24100,23200
2026-04-09 02:21:19,ACB,24100,23200
2026-04-09 03:07:03,ACB,24100,23200
2026-04-09 04:01:38,ACB,24100,23200
2026-04-09 04:56:46,ACB,24100,23200
2026-04-09 05:52:50,ACB,24100,23200
2026-04-09 06:36:09,ACB,24100,23200
2026-04-09 07:03:46,ACB,24100,23200
2026-04-09 10:26:05,ACB,23850,24100
2026-04-09 12:29:15,ACB,23850,24100
2026-04-09 14:03:04,ACB,23850,24100
2026-04-09 15:45:05,ACB,23850,24100
2026-04-09 16:58:33,ACB,23850,24100
2026-04-09 18:11:40,ACB,23850,24100
2026-04-09 19:05:44,ACB,23850,24100
2026-04-09 21:12:10,ACB,23850,24100
