snapshot_time,symbol,match_price,ref_price
2026-05-01 00:45:49,FPT,75500,74400
2026-05-01 02:01:16,FPT,75500,74400
2026-05-01 03:17:33,FPT,75500,74400
2026-05-01 04:30:06,FPT,75500,74400
2026-05-01 05:31:55,FPT,75500,74400
2026-05-01 06:32:09,FPT,75500,74400
2026-05-01 08:25:11,FPT,75500,74400
2026-05-01 12:09:49,FPT,75500,74400
2026-05-01 14:38:03,FPT,75500,74400
2026-05-01 16:21:46,FPT,75500,74400
2026-05-01 17:51:54,FPT,75500,74400
2026-05-01 18:55:04,FPT,75500,74400
2026-05-01 20:26:00,FPT,75500,74400
2026-05-01 21:38:33,FPT,75500,74400
2026-05-01 22:40:34,FPT,75500,74400
