snapshot_time,symbol,match_price,ref_price
2026-04-22 00:17:49,ACB,23750,23950
2026-04-22 01:16:23,ACB,23750,23950
2026-04-22 02:42:04,ACB,23750,23950
2026-04-22 03:35:02,ACB,23750,23950
2026-04-22 04:28:45,ACB,23750,23950
2026-04-22 05:23:21,ACB,23750,23950
2026-04-22 06:07:00,ACB,23750,23950
2026-04-22 06:51:16,ACB,23750,23950
2026-04-22 08:55:22,ACB,0,23750
2026-04-22 11:49:45,ACB,23650,23750
2026-04-22 13:28:58,ACB,23600,23750
2026-04-22 15:18:09,ACB,23600,23750
2026-04-22 16:57:01,ACB,23600,23750
2026-04-22 18:15:33,ACB,23600,23750
2026-04-22 19:11:34,ACB,23600,23750
2026-04-22 21:11:22,ACB,23600,23750
2026-04-22 22:42:36,ACB,23600,23750
2026-04-22 23:44:49,ACB,23600,23750
