snapshot_time,symbol,match_price,ref_price
2026-04-21 00:32:42,HPG,28450,28000
2026-04-21 01:39:53,HPG,28450,28000
2026-04-21 02:46:35,HPG,28450,28000
2026-04-21 03:32:12,HPG,28450,28000
2026-04-21 04:29:26,HPG,28450,28000
2026-04-21 05:25:40,HPG,28450,28000
2026-04-21 06:11:14,HPG,28450,28000
2026-04-21 07:00:40,HPG,28450,28000
2026-04-21 10:40:17,HPG,29100,28450
2026-04-21 12:53:52,HPG,28950,28450
2026-04-21 14:51:40,HPG,28550,28450
2026-04-21 16:19:58,HPG,28550,28450
2026-04-21 17:48:58,HPG,28550,28450
2026-04-21 18:51:07,HPG,28550,28450
