snapshot_time,symbol,match_price,ref_price
2026-04-24 00:49:10,HPG,27800,28200
2026-04-24 01:51:20,HPG,27800,28200
2026-04-24 03:03:07,HPG,27800,28200
2026-04-24 04:04:59,HPG,27800,28200
2026-04-24 04:59:45,HPG,27800,28200
2026-04-24 06:00:12,HPG,27800,28200
2026-04-24 06:57:34,HPG,27800,28200
2026-04-24 10:40:42,HPG,27650,27800
2026-04-24 12:58:16,HPG,27550,27800
2026-04-24 15:17:54,HPG,27900,27800
2026-04-24 16:58:01,HPG,27900,27800
2026-04-24 18:16:06,HPG,27900,27800
2026-04-24 19:10:08,HPG,27900,27800
2026-04-24 21:09:05,HPG,27900,27800
