snapshot_time,symbol,match_price,ref_price
2026-04-24 00:49:10,FPT,74300,74600
2026-04-24 01:51:20,FPT,74300,74600
2026-04-24 03:03:07,FPT,74300,74600
2026-04-24 04:04:59,FPT,74300,74600
2026-04-24 04:59:45,FPT,74300,74600
2026-04-24 06:00:12,FPT,74300,74600
2026-04-24 06:57:34,FPT,74300,74600
2026-04-24 10:40:42,FPT,73800,74300
2026-04-24 12:58:16,FPT,73600,74300
2026-04-24 15:17:54,FPT,73400,74300
2026-04-24 16:58:01,FPT,73400,74300
2026-04-24 18:16:06,FPT,73400,74300
2026-04-24 19:10:08,FPT,73400,74300
2026-04-24 21:09:05,FPT,73400,74300
2026-04-24 22:38:23,FPT,73400,74300
2026-04-24 23:39:30,FPT,73400,74300
