date,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50
2024-01-02 07:00:00,70.92,70.92,70.05,70.19,1714500,,,,
2024-01-03 07:00:00,69.97,70.63,69.83,70.49,1436900,0.0042741131215271455,,,
2024-01-04 07:00:00,70.49,72.02,70.41,71.14,2973900,0.009221166122854285,,,
2024-01-05 07:00:00,71.22,71.36,70.63,71.29,1138600,0.0021085184143943003,,,
2024-01-08 07:00:00,71.29,71.95,71.07,71.22,1443000,-0.0009819048954973209,70.866,,
2024-01-09 07:00:00,71.22,71.22,70.71,70.71,1211700,-0.007160909856781861,70.97,,
2024-01-10 07:00:00,70.78,70.92,69.17,69.32,3302500,-0.019657757035779988,70.73599999999999,,
2024-01-11 07:00:00,69.32,69.83,69.32,69.54,1370900,0.0031736872475478517,70.416,,
2024-01-12 07:00:00,69.39,69.97,68.88,69.32,2597000,-0.0031636468219731206,70.02199999999999,,
2024-01-15 07:00:00,69.54,70.19,69.46,69.83,1312200,0.007357184073860434,69.744,,
2024-01-16 07:00:00,69.32,70.05,69.32,70.05,810000,0.0031505083774880926,69.612,,
2024-01-17 07:00:00,69.97,70.27,69.54,70.05,1414000,0.0,69.75800000000001,,
2024-01-18 07:00:00,70.05,70.27,69.68,69.97,1136900,-0.0011420413990006484,69.84400000000001,,
2024-01-19 07:00:00,70.27,70.92,70.05,70.49,1493200,0.007431756467057182,70.078,,
2024-01-22 07:00:00,70.85,70.85,70.12,70.56,1108000,0.0009930486593843213,70.22399999999999,,
2024-01-23 07:00:00,70.34,70.56,69.83,69.97,1480400,-0.008361678004535245,70.208,,
2024-01-24 07:00:00,70.12,70.12,69.46,69.54,1722100,-0.006145490924681862,70.106,,
2024-01-25 07:00:00,69.61,70.05,69.39,69.61,845100,0.0010066148979004375,70.03399999999999,,
2024-01-26 07:00:00,69.9,70.41,69.75,70.19,925400,0.00833213618732942,69.974,,
2024-01-29 07:00:00,70.19,70.34,69.75,70.19,1060700,0.0,69.9,70.18350000000001,
2024-01-30 07:00:00,70.19,70.19,69.83,69.97,949000,-0.003134349622453292,69.9,70.17249999999999,
2024-01-31 07:00:00,69.97,70.27,69.9,70.05,1381500,0.0011433471487780622,70.002,70.1505,
2024-02-01 07:00:00,70.19,73.12,70.05,73.12,7793700,0.043825838686652574,70.704,70.2495,
2024-02-02 07:00:00,73.34,74.81,73.27,74.66,2876100,0.021061269146608108,71.598,70.418,
2024-02-05 07:00:00,74.66,76.19,74.58,75.76,2694400,0.014733458344495132,72.712,70.64500000000001,
2024-02-06 07:00:00,75.83,76.85,75.32,76.19,1884300,0.005675818373811925,73.95599999999999,70.91900000000001,
2024-02-07 07:00:00,76.64,76.85,76.05,76.78,2125400,0.007743798398740065,75.302,71.292,
2024-02-15 07:00:00,77.0,77.22,75.98,76.12,2248400,-0.008595988538681931,75.902,71.621,
2024-02-16 07:00:00,76.12,76.93,75.98,76.93,2066000,0.010641093011035219,76.35600000000001,72.0015,
2024-02-19 07:00:00,77.22,78.32,76.85,76.85,2031800,-0.001039906408423441,76.574,72.35249999999999,
2024-02-20 07:00:00,77.0,77.0,76.12,76.34,1844300,-0.006636304489264666,76.60400000000001,72.667,
2024-02-21 07:00:00,76.12,78.24,75.76,77.51,3137500,0.015326172386691095,76.75,73.03999999999999,
2024-02-22 07:00:00,77.51,77.59,76.56,76.56,1718700,-0.012256483034447152,76.838,73.3695,
2024-02-23 07:00:00,77.22,78.1,75.61,76.05,4103500,-0.006661442006269613,76.662,73.64750000000001,
2024-02-26 07:00:00,76.05,79.05,75.76,79.05,4466700,0.03944773175542404,77.102,74.07199999999999,
2024-02-27 07:00:00,79.42,80.15,78.61,78.98,2800800,-0.0008855154965210499,77.63,74.52250000000001,
2024-02-28 07:00:00,79.05,79.42,77.81,79.42,3461700,0.0055710306406684396,78.012,75.0165,
2024-02-29 07:00:00,79.2,80.08,78.83,79.78,2824800,0.004532863258625008,78.65599999999999,75.525,
2024-03-01 07:00:00,79.93,81.54,79.86,81.1,4019400,0.016545500125344503,79.666,76.0705,
2024-03-04 07:00:00,81.25,81.83,81.1,81.54,3087100,0.005425400739827557,80.164,76.638,
2024-03-05 07:00:00,81.54,81.54,80.44,81.03,3383000,-0.006254598969830827,80.574,77.191,
2024-03-06 07:00:00,80.51,80.81,79.34,79.86,3702600,-0.014439096630877502,80.662,77.6815,
2024-03-07 07:00:00,79.86,83.37,79.2,81.46,4037600,0.020035061357375428,80.99799999999999,78.0985,
2024-03-08 07:00:00,81.46,82.42,80.15,80.51,3115600,-0.011662165479989994,80.88,78.39099999999999,
2024-03-11 07:00:00,80.51,83.08,80.51,80.51,3381500,0.0,80.674,78.6285,
2024-03-12 07:00:00,80.51,83.08,80.51,81.9,2907800,0.017264936032791,80.848,78.914,
2024-03-13 07:00:00,82.56,85.64,81.98,85.64,5114200,0.0456654456654455,82.00399999999999,79.357,
2024-03-14 07:00:00,86.74,86.74,84.69,85.64,3463000,0.0,82.84,79.833,
2024-03-15 07:00:00,85.49,85.49,83.81,84.91,3838400,-0.008524054180289675,83.72,80.232,
2024-03-18 07:00:00,84.76,84.76,81.32,82.71,5884600,-0.0259097868331174,84.16,80.525,75.212
2024-03-19 07:00:00,82.71,82.71,81.32,81.98,3315400,-0.008826018619272014,84.176,80.80699999999999,75.4478
2024-03-20 07:00:00,82.2,84.17,81.32,83.81,3475700,0.022322517687240806,83.81,81.122,75.7142
2024-03-21 07:00:00,84.32,85.05,83.88,85.05,3757800,0.014795370480849446,83.692,81.54650000000001,75.9924
2024-03-22 07:00:00,85.12,85.12,83.81,84.1,2414800,-0.011169900058788929,83.53,81.949,76.2486
