date,open,high,low,close,volume,return_1d,ma_5,ma_20,ma_50
2024-01-02 07:00:00,21.27,21.31,20.78,20.78,22187200,,,,
2024-01-03 07:00:00,20.74,21.04,20.74,21.04,18575400,0.012512030798844886,,,
2024-01-04 07:00:00,21.04,21.27,20.97,21.0,38538700,-0.0019011406844106071,,,
2024-01-05 07:00:00,21.0,21.12,20.85,21.04,17333400,0.0019047619047618536,,,
2024-01-08 07:00:00,21.16,21.38,21.08,21.08,31243900,0.001901140684410496,20.988,,
2024-01-09 07:00:00,21.12,21.16,20.81,20.97,28623900,-0.005218216318785607,21.026,,
2024-01-10 07:00:00,20.97,21.0,20.63,20.7,32642500,-0.012875536480686622,20.958000000000002,,
2024-01-11 07:00:00,20.78,20.93,20.74,20.81,15264900,0.005314009661835817,20.919999999999998,,
2024-01-12 07:00:00,20.7,20.78,20.47,20.55,28626500,-0.012493993272465032,20.822,,
2024-01-15 07:00:00,20.59,20.78,20.51,20.51,12497100,-0.001946472019464629,20.708,,
2024-01-16 07:00:00,20.51,21.04,20.47,21.04,19767200,0.025841053144807224,20.722,,
2024-01-17 07:00:00,21.08,21.16,20.93,20.93,23410200,-0.005228136882129197,20.768,,
2024-01-18 07:00:00,20.97,21.08,20.89,20.93,12639000,0.0,20.791999999999998,,
2024-01-19 07:00:00,21.0,21.12,20.89,21.04,14859900,0.005255613951266058,20.889999999999997,,
2024-01-22 07:00:00,21.19,21.69,21.08,21.42,66067900,0.018060836501901267,21.072000000000003,,
2024-01-23 07:00:00,21.53,21.57,21.38,21.46,21678300,0.0018674136321195078,21.156,,
2024-01-24 07:00:00,21.42,21.57,21.38,21.38,16136900,-0.0037278657968313755,21.246,,
2024-01-25 07:00:00,21.38,21.5,21.19,21.38,15227000,0.0,21.336000000000002,,
2024-01-26 07:00:00,21.5,21.57,21.38,21.46,14372300,0.00374181478016844,21.42,,
2024-01-29 07:00:00,21.46,21.5,21.19,21.19,21575000,-0.012581547064305698,21.374000000000002,21.0355,
2024-01-30 07:00:00,21.19,21.27,21.08,21.19,17529200,0.0,21.32,21.055999999999997,
2024-01-31 07:00:00,21.16,21.27,21.0,21.0,24456900,-0.008966493629070427,21.244,21.054,
2024-02-01 07:00:00,21.0,21.27,20.97,21.08,10636100,0.003809523809523707,21.184000000000005,21.058,
2024-02-02 07:00:00,20.97,21.27,20.97,21.12,14162200,0.00189753320683117,21.116,21.062,
